SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
11-Aug-09,,Ashton vale,4,15.11,7.32,826.1,81,,,,47000,25000,,0.26,< 2,,< 0.10,,78.20566967
11-Aug-09,,Hartcliffe Way,5,17.02,8.5,726.5,93.5,,,,8400,11200,,0.12,< 2,,0.2,,90.65932163
11-Aug-09,,Briscoe's Avenue,5a,16.05,8.89,669,102.9,,,,48000,4600,,0.13,< 2,,0.38,,93.28227915
11-Aug-09,,Manor Wood,6,15.82,8.17,684.3,93.8,,,,45000,20000,,0.21,< 2,,0.45,,84.86919908
11-Aug-09,,Cotswold Road,7a,15.58,6.92,823.9,76,,,,44000,22000,,0.33,< 2,,0.2,,73.27032653
11-Aug-09,,Brixham Road,7b,15.65,7.69,834.2,76.4,,,,420000,82000,,0.57,< 2,,0.23,,84.51513045
11-Aug-09,,Allison Road,9,16.36,7.98,739.6,96,,,,64000,18000,,0.15,< 2,,0.25,,83.05640496
11-Aug-09,,Cadogan Road,10,16.02,8.3,843.1,67.7,,,,600000,56000,,0.45,2,,0.21,,86.09888072
11-Aug-09,,St Georges Park Lake,11,21.16,8.77,560.1,76.9,,,,1600,200,,0.66,6,,< 0.10,,101.8559069
12-Aug-09,,Dubbers Lane,12,14.24,9.14,1689.8,64.5,,,,3400,1200,,20.8,< 2,,< 0.10,,127.5625406
12-Aug-09,,Eastville Park Lake,13,20.99,9.04,414.9,54.7,,,,1200,600,,0.03,7,,< 0.10,,110.4896814
12-Aug-09,,Lower Grove Road,13a,15.35,9.1,770.8,72.1,,,,17000,3400,,0.37,< 2,,0.17,,104.0444033
12-Aug-09,,Snuff Mills,14,16.32,9.22,792.4,78.6,,,,62000,2000,,0.02,3,,0.12,,100.5560621
12-Aug-09,,Wade Street,14a,16.49,9.21,802.4,77.5,,,,7800,1200,,0.08,< 2,,0.11,,105.4321321
12-Aug-09,,Mina Park ,15,15.19,9.4,980.9,87.7,,,,15000,2400,,0.07,< 2,,0.17,,110.5933249
11-Aug-09,,Conham Vale,16,17.51,8.61,638.1,82.4,,,,8400,2400,,0.25,< 2,,0.27,,92.08810431
22-Sep-09,,Trowbridge Road,2,15.35,7.7,846.9,105.8,,,,15000,1000,,,,,,,79.85357817
22-Sep-09,,Badocks Wood,2a,13.77,7.6,1094.2,112.5,,,,12000,11000,,,,,,,83.07129875
22-Sep-09,,Coombe Dingle,3,13.45,7.27,980.1,103.3,,,,1600,1400,,,,,,,77.23871705
22-Sep-09,,Crow Lane,3a,13.73,7.33,939.7,103.6,,,,27000,7600,,,,,,,77.09879058
23-Sep-09,,Ashton vale,4,14.19,7.48,1027.8,78.6,,,,10000,4800,,0.18,< 2,,< 0.10,,85.66887228
23-Sep-09,,Hartcliffe Way,5,15.02,7.91,718.4,108.2,,,,8200,2200,,0.12,6,,0.15,,87.7805719
23-Sep-09,,Briscoe's Avenue,5a,15.85,7.93,677.2,102.4,,,,8600,3800,,0.27,2,,0.71,,70.85078431
23-Sep-09,,Manor Wood,6,15.7,7.44,637.9,102,,,,23000,12000,,0.09,< 2,,0.85,,71.85709124
23-Sep-09,,Cotswold Road,7a,14.57,6.93,773,14.59,,,,7200,3400,,0.26,2,,0.23,,73.97060866
23-Sep-09,,Brixham Road,7b,14.46,7.39,697.2,10.82,,,,7000,3000,,0.1,2,,0.21,,79.45597222
